Date, Unread, Inbox Total, Deleted Total
2014-01-10 07:30:06, 299, 1491, 1273
2014-01-10 07:35:06, 299, 1491, 1273
2014-01-10 07:40:08, 299, 1491, 1273
2014-01-10 07:45:04, 299, 1491, 1273
2014-01-10 07:50:06, 299, 1491, 1273
2014-01-10 07:55:07, 299, 1491, 1273
2014-01-10 08:00:05, 299, 1491, 1273
2014-01-10 08:05:09, 299, 1491, 1273
2014-01-10 08:10:05, 299, 1491, 1273
2014-01-10 08:15:06, 299, 1491, 1273
2014-01-10 08:20:05, 299, 1491, 1273
2014-01-10 08:25:04, 299, 1491, 1273
2014-01-10 08:30:05, 299, 1491, 1273
2014-01-10 08:35:06, 299, 1491, 1273
2014-01-10 08:40:06, 300, 1492, 1273
2014-01-10 08:45:05, 301, 1493, 1273
2014-01-10 08:50:05, 303, 1495, 1273
2014-01-10 08:55:05, 303, 1495, 1273
2014-01-10 09:00:07, 304, 1496, 1273
2014-01-10 09:05:06, 304, 1496, 1273
2014-01-10 09:10:07, 306, 1498, 1273
2014-01-10 09:15:05, 299, 1492, 1282
2014-01-10 09:20:05, 300, 1494, 1282
2014-01-10 09:25:07, 301, 1495, 1282
2014-01-10 09:30:06, 302, 1496, 1282
2014-01-10 09:35:05, 304, 1498, 1283
2014-01-10 09:40:05, 305, 1499, 1283
2014-01-10 09:45:04, 304, 1500, 1283
2014-01-10 09:50:05, 298, 1499, 1287
2014-01-10 09:55:07, 299, 1500, 1287
2014-01-10 10:00:08, 301, 1502, 1287
2014-01-10 10:05:06, 301, 1502, 1287
2014-01-10 10:10:05, 303, 1504, 1287
2014-01-10 10:15:08, 301, 1503, 1288
2014-01-10 10:20:04, 299, 1501, 1292
2014-01-10 10:25:48, 292, 1495, 1299
2014-01-10 10:30:08, 292, 1493, 1302
2014-01-10 10:35:05, 293, 1495, 1302
2014-01-10 10:40:05, 291, 1494, 1304
2014-01-10 10:45:05, 290, 1495, 1305
2014-01-10 10:50:04, 288, 1494, 1307
2014-01-10 10:55:06, 289, 1486, 1318
2014-01-10 11:00:03, 284, 1465, 1337
2014-01-10 11:05:04, 269, 1442, 1362
2014-01-10 11:10:08, 270, 1444, 1363
2014-01-10 11:15:04, 271, 1445, 1363
2014-01-10 11:20:06, 269, 1440, 1371
2014-01-10 11:25:03, 271, 1442, 1371
2014-01-10 11:30:05, 268, 1439, 1375
2014-01-10 11:35:06, 269, 1440, 1375
2014-01-10 11:40:04, 271, 1442, 1375
2014-01-10 11:45:09, 270, 1442, 1375
2014-01-10 11:50:08, 273, 1445, 1375
2014-01-10 11:55:05, 273, 1445, 1375
2014-01-10 12:00:05, 274, 1446, 1375
2014-01-10 12:05:04, 274, 1448, 1374
2014-01-10 12:10:05, 274, 1448, 1374
2014-01-10 12:15:03, 275, 1449, 1374
2014-01-10 12:20:05, 275, 1451, 1374
2014-01-10 12:25:03, 275, 1451, 1374
2014-01-10 12:30:04, 275, 1451, 1374
2014-01-10 12:35:07, 276, 1452, 1374
2014-01-10 12:40:05, 276, 1452, 1374
2014-01-10 12:45:06, 276, 1452, 1374
2014-01-10 12:50:04, 276, 1452, 1374
2014-01-10 12:55:06, 276, 1452, 1374
2014-01-10 13:00:05, 269, 1441, 1385
2014-01-10 13:05:05, 271, 1443, 1385
2014-01-10 13:10:06, 272, 1444, 1385
2014-01-10 13:15:08, 273, 1445, 1385
2014-01-10 13:20:04, 270, 1443, 1388
2014-01-10 13:25:05, 269, 1442, 1389
2014-01-10 13:30:08, 269, 1442, 1389
2014-01-10 13:35:04, 270, 1443, 1389
2014-01-10 13:40:04, 271, 1444, 1389
2014-01-10 13:45:03, 272, 1445, 1389
2014-01-10 13:50:06, 271, 1445, 1389
2014-01-10 13:55:05, 271, 1445, 1389
2014-01-10 14:00:04, 273, 1447, 1389
2014-01-10 14:05:05, 273, 1447, 1389
2014-01-10 14:10:06, 271, 1447, 1391
2014-01-10 14:15:05, 271, 1447, 1391
2014-01-10 14:20:05, 269, 1444, 1394
2014-01-10 14:25:03, 268, 1444, 1394
2014-01-10 14:30:08, 268, 1444, 1394
2014-01-10 14:35:06, 268, 1444, 1394
2014-01-10 14:40:06, 268, 1444, 1394
2014-01-10 14:45:05, 268, 1444, 1394
2014-01-10 14:50:04, 268, 1444, 1394
2014-01-10 14:55:04, 268, 1444, 1394
2014-01-10 15:00:05, 268, 1444, 1394
2014-01-10 15:05:04, 268, 1444, 1394
2014-01-10 15:10:04, 270, 1446, 1394
2014-01-10 15:15:06, 271, 1447, 1394
2014-01-10 15:20:06, 271, 1447, 1394
2014-01-10 15:25:05, 271, 1447, 1394
2014-01-10 15:30:06, 271, 1447, 1394
2014-01-10 15:35:06, 273, 1449, 1394
2014-01-10 15:40:06, 272, 1449, 1394
2014-01-10 15:45:06, 272, 1449, 1394
2014-01-10 15:50:03, 272, 1449, 1394
2014-01-10 15:55:06, 272, 1449, 1394
2014-01-10 16:00:06, 272, 1449, 1394
2014-01-10 16:05:26, 272, 1449, 1394
2014-01-10 16:10:08, 272, 1449, 1394
2014-01-10 16:15:05, 272, 1449, 1394
2014-01-10 16:20:06, 268, 1443, 1400
2014-01-10 16:25:08, 269, 1444, 1400
2014-01-10 16:30:05, 269, 1444, 1400
2014-01-10 16:35:06, 269, 1444, 1400
2014-01-10 16:40:06, 269, 1444, 1400
2014-01-10 16:45:05, 269, 1444, 1400
2014-01-10 16:50:26, 269, 1444, 1400
2014-01-10 16:55:05, 269, 1444, 1400
2014-01-10 17:00:06, 269, 1444, 1400
2014-01-10 17:05:06, 270, 1445, 1400
2014-01-10 17:10:25, 271, 1446, 1400
